2026-04-24 10:23:01 [info]: 	[ModelManager] Registered model provider: lmstudio (lmstudio) {}
2026-04-24 10:23:01 [info]: 	[ModelManager] Registered model provider: ollama (ollama) {}
2026-04-24 10:23:01 [debug]: 	[ToolRegistry] Initialized 10 default tools {}
2026-04-24 10:23:01 [info]: 	[SecurityAgent] Initializing security agent... {}
2026-04-24 10:23:01 [debug]: 	[ModelAdapter] Request: GET /models {}
2026-04-24 10:23:01 [error]: 	[ModelAdapter] Request failed:  {"data":{"url":"/models"}}
2026-04-24 10:23:01 [error]: 	[ModelAdapter] Failed to get models {"data":{"message":"","name":"AggregateError","stack":"AggregateError\n    at AxiosError.from (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:881:24)\n    at RedirectableRequest.handleRequestError (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:3397:25)\n    at RedirectableRequest.emit (node:events:520:35)\n    at eventHandlers.<computed> (C:\\traework\\AiSecurityMCP\\node_modules\\follow-redirects\\index.js:56:24)\n    at ClientRequest.emit (node:events:508:28)\n    at emitErrorEvent (node:_http_client:108:11)\n    at Socket.socketErrorListener (node:_http_client:575:5)\n    at Socket.emit (node:events:520:35)\n    at emitErrorNT (node:internal/streams/destroy:170:8)\n    at emitErrorCloseNT (node:internal/streams/destroy:129:3)\n    at Axios.request (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:4517:41)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async LMStudioAdapter.getModels (C:\\traework\\AiSecurityMCP\\dist\\models\\baseAdapter.js:77:30)\n    at async LMStudioAdapter.getContextWindow (C:\\traework\\AiSecurityMCP\\dist\\models\\lmstudioAdapter.js:46:28)\n    at async ModelManager.getContextWindow (C:\\traework\\AiSecurityMCP\\dist\\models\\modelManager.js:116:16)\n    at async ContextManager.initialize (C:\\traework\\AiSecurityMCP\\dist\\context\\contextManager.js:34:35)\n    at async SecurityAgent.initialize (C:\\traework\\AiSecurityMCP\\dist\\agents\\securityAgent.js:76:9)\n    at async Command.<anonymous> (C:\\traework\\AiSecurityMCP\\dist\\index.js:75:5)","config":{"transitional":{"silentJSONParsing":true,"forcedJSONParsing":true,"clarifyTimeoutError":false,"legacyInterceptorReqResOrdering":true},"adapter":["xhr","http","fetch"],"transformRequest":[null],"transformResponse":[null],"timeout":60000,"xsrfCookieName":"XSRF-TOKEN","xsrfHeaderName":"X-XSRF-TOKEN","maxContentLength":-1,"maxBodyLength":-1,"env":{},"headers":{"Accept":"application/json, text/plain, */*","Content-Type":"application/json","User-Agent":"axios/1.15.2","Accept-Encoding":"gzip, compress, deflate, br"},"baseURL":"http://localhost:1234/v1","method":"get","url":"/models","allowAbsoluteUrls":true},"code":"ECONNREFUSED"}}
2026-04-24 10:23:01 [warn]: 	[LMStudioAdapter] Using default context window: 4096. Consider setting it in config for accuracy. {}
2026-04-24 10:23:01 [info]: 	[ContextManager] Initialized with context window: 4096 tokens {}
2026-04-24 10:23:01 [debug]: 	[ModelAdapter] Request: GET /models {}
2026-04-24 10:23:01 [error]: 	[ModelAdapter] Request failed:  {"data":{"url":"/models"}}
2026-04-24 10:23:01 [warn]: 	[LMStudioAdapter] LMStudio is not available {"data":{"message":"","name":"AggregateError","stack":"AggregateError\n    at AxiosError.from (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:881:24)\n    at RedirectableRequest.handleRequestError (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:3397:25)\n    at RedirectableRequest.emit (node:events:520:35)\n    at eventHandlers.<computed> (C:\\traework\\AiSecurityMCP\\node_modules\\follow-redirects\\index.js:56:24)\n    at ClientRequest.emit (node:events:508:28)\n    at emitErrorEvent (node:_http_client:108:11)\n    at Socket.socketErrorListener (node:_http_client:575:5)\n    at Socket.emit (node:events:520:35)\n    at emitErrorNT (node:internal/streams/destroy:170:8)\n    at emitErrorCloseNT (node:internal/streams/destroy:129:3)\n    at Axios.request (C:\\traework\\AiSecurityMCP\\node_modules\\axios\\dist\\node\\axios.cjs:4517:41)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async LMStudioAdapter.isAvailable (C:\\traework\\AiSecurityMCP\\dist\\models\\lmstudioAdapter.js:14:30)\n    at async ModelManager.checkAllProviders (C:\\traework\\AiSecurityMCP\\dist\\models\\modelManager.js:89:37)\n    at async SecurityAgent.initialize (C:\\traework\\AiSecurityMCP\\dist\\agents\\securityAgent.js:78:27)\n    at async Command.<anonymous> (C:\\traework\\AiSecurityMCP\\dist\\index.js:75:5)","config":{"transitional":{"silentJSONParsing":true,"forcedJSONParsing":true,"clarifyTimeoutError":false,"legacyInterceptorReqResOrdering":true},"adapter":["xhr","http","fetch"],"transformRequest":[null],"transformResponse":[null],"timeout":5000,"xsrfCookieName":"XSRF-TOKEN","xsrfHeaderName":"X-XSRF-TOKEN","maxContentLength":-1,"maxBodyLength":-1,"env":{},"headers":{"Accept":"application/json, text/plain, */*","Content-Type":"application/json","User-Agent":"axios/1.15.2","Accept-Encoding":"gzip, compress, deflate, br"},"baseURL":"http://localhost:1234/v1","method":"get","url":"/models","allowAbsoluteUrls":true},"code":"ECONNREFUSED"}}
2026-04-24 10:23:01 [info]: 	[ModelManager] Provider lmstudio: unavailable {}
